longitude,latitude,junction_type,num_roads,connected_road_indices
103.832865,1.299288,T Shape,3,"[6107, 6111, 6116]"
103.841169,1.289468,X Shape,4,"[6121, 6122, 6134, 6135]"
103.841521,1.290162,T Shape,3,"[6121, 6122, 6124]"
103.840733,1.289682,Other,3,"[6133, 6134, 6135]"
103.824791,1.299627,T Shape,3,"[6183, 6184, 6187]"
103.824763,1.299489,T Shape,3,"[6184, 6185, 6186]"
103.833751,1.293889,T Shape,3,"[6226, 6228, 6230]"
103.833895,1.293733,T Shape,3,"[6227, 6228, 6231]"
103.84084,1.304484,T Shape,3,"[6264, 6267, 6283]"
103.84104,1.304028,T Shape,3,"[6264, 6265, 6268]"
103.841181,1.304228,T Shape,3,"[6265, 6266, 6285]"
103.840992,1.304522,T Shape,3,"[6266, 6283, 6285]"
103.847238,1.300426,T Shape,3,"[6269, 6270, 6286]"
103.847976,1.300728,T Shape,3,"[6272, 6273, 6274]"
103.847104,1.300889,Other,3,"[6276, 6276, 6277]"
103.833048,1.293283,T Shape,3,"[6303, 6399, 6400]"
103.846739,1.299485,T Shape,3,"[6314, 6343, 6344]"
103.837383,1.292912,T Shape,3,"[6319, 6320, 6324]"
103.837324,1.293045,T Shape,3,"[6321, 6322, 6324]"
103.849977,1.298599,T Shape,3,"[6328, 6330, 6331]"
103.848921,1.301409,X Shape,4,"[6358, 6360, 6361, 6362]"
103.848956,1.301558,T Shape,3,"[6362, 6365, 6367]"
